Sample_nameITS,Sample_name,Sample_nameVER,Experiment,Sample_or_control,Hundredplot_tree_EP,PrePost_sam_EP,PrePost_EP,Treatuntreat_EP,Lineage_EP,YearSam_EP,YearTrt_EP,YrSinceTrt_EP,YrSinceTrt_Range,YrSinceTrt_BR,Fire_EP,Fire_Mod,Burned1-0_EP,YrSinceBurn_EP,Latitude,Longitude,VegBin,SoilBin,Incubation,Soil,Treatment
10gEP114_S220,10gEP114_S220_L001,10gEP114,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
10gHD4371_S217,10gHD4371_S217_L001,10gHD4371,10g,sample,0,0,NA,0,uninfested,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
10gHD4379_S218,10gHD4379_S218_L001,10gHD4379,10g,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
10gHD4397_S219,10gHD4397_S219_L001,10gHD4397,10g,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
114-2152-PSME_S214,114-2152-PSME_S214_L001,114-2152-PSME,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2164-PSME_S211,114-2164-PSME_S211_L001,114-2164-PSME,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2170-4-NODE3_S210,114-2170-4-NODE3_S210_L001,114-2170-4-NODE3,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2177-1-NODE3_S208,114-2177-1-NODE3_S208_L001,114-2177-1-NODE3,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2191-1-ARME_S213,114-2191-1-ARME_S213_L001,114-2191-1-ARME,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2203-1-NODE3_S207,114-2203-1-NODE3_S207_L001,114-2203-1-NODE3,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2211-2-NODE3_S206,114-2211-2-NODE3_S206_L001,114-2211-2-NODE3,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2228-2-ARME_S215,114-2228-2-ARME_S215_L001,114-2228-2-ARME,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2237-PSME_S212,114-2237-PSME_S212_L001,114-2237-PSME,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2277-NODE3_S209,114-2277-NODE3_S209_L001,114-2277-NODE3,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-center-rebar_S205,114-center-rebar_S205_L001,114-center-rebar,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-east-rebar_S202,114-east-rebar_S202_L001,114-east-rebar,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-north-rebar_S201,114-north-rebar_S201_L001,114-north-rebar,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-south-rebar_S203,114-south-rebar_S203_L001,114-south-rebar,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-west-rebar_S204,114-west-rebar_S204_L001,114-west-rebar,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
Dung1_1_S221,Dung1_1_S221_L001,1_1,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anaerobic,madras,untreated
Dung1_2_S222,Dung1_2_S222_L001,1_2,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anaerobic,madras,untreated
Dung1_3_S223,Dung1_3_S223_L001,1_3,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anaerobic,madras,untreated
Dung2_1_S224,Dung2_1_S224_L001,2_1,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anaerobic,madras,DADS_1gal_A
Dung2_2_S225,Dung2_2_S225_L001,2_2,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anaerobic,madras,DADS_1gal_A
Dung2_3_S226,Dung2_3_S226_L001,2_3,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anaerobic,madras,DADS_1gal_A
Dung3_1_S227,Dung3_1_S227_L001,3_1,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anaerobic,tulelake,untreated
Dung3_2_S228,Dung3_2_S228_L001,3_2,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anaerobic,tulelake,untreated
Dung3_3_S229,Dung3_3_S229_L001,3_3,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anaerobic,tulelake,untreated
Dung4_1_S230,Dung4_1_S230_L001,4_1,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anaerobic,tulelake,DADS_1gal_A
Dung4_2_S231,Dung4_2_S231_L001,4_2,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anaerobic,tulelake,DADS_1gal_A
Dung4_3_S232,Dung4_3_S232_L001,4_3,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anaerobic,tulelake,DADS_1gal_A
Dung5_1_S233,Dung5_1_S233_L001,5_1,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aerobic,madras,untreated
Dung5_2_S234,Dung5_2_S234_L001,5_2,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aerobic,madras,untreated
Dung5_3_S235,Dung5_3_S235_L001,5_3,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aerobic,madras,untreated
Dung6_1_S236,Dung6_1_S236_L001,6_1,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aerobic,madras,DADS_1gal_A
Dung6_2_S237,Dung6_2_S237_L001,6_2,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aerobic,madras,DADS_1gal_A
Dung6_3_S238,Dung6_3_S238_L001,6_3,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aerobic,madras,DADS_1gal_A
Dung7_1_S239,Dung7_1_S239_L001,7_1,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aerobic,tulelake,untreated
Dung7_2_S240,Dung7_2_S240_L001,7_2,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aerobic,tulelake,untreated
Dung7_3_S241,Dung7_3_S241_L001,7_3,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aerobic,tulelake,untreated
Dung8_1_S242,Dung8_1_S242_L001,8_1,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aerobic,tulelake,DADS_1gal_A
Dung8_2_S243,Dung8_2_S243_L001,8_2,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aerobic,tulelake,DADS_1gal_A
Dung8_3_S244,Dung8_3_S244_L001,8_3,dunglabsamples,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aerobic,tulelake,DADS_1gal_A
emptyextraction_S200,emptyextraction_S200_L001,emptyextraction,control,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HD3901-S1_4401_S1,HD3901-S1_4401_S1_L001,HD3901-S1_4401,basetree_100plots,sample,1,0,NA,0,EU1,2020,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.332505,-124.399209,1,1,NA,NA,NA
HD3902-S1_4400_S99,HD3902-S1_4400_S99_L001,HD3902-S1_4400,basetree_100plots,sample,1,0,NA,0,EU1,2020,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.41881,-124.349987,1,0,NA,NA,NA
HD4301-S1_S2,HD4301-S1_S2_L001,HD4301-S1,basetree_100plots,sample,1,0,NA,0,NA1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.19457,-124.3507,1,1,NA,NA,NA
HD4303-S1_S3,HD4303-S1_S3_L001,HD4303-S1,basetree_100plots,sample,1,0,NA,1,NA1,2018,2017,1,<3,1to2,wildfire,wildfire,1,1,42.14574,-124.1485,0,0,NA,NA,NA
HD4304-S1_S4,HD4304-S1_S4_L001,HD4304-S1,basetree_100plots,sample,1,0,NA,1,NA1,2018,2017,1,<3,1to2,wildfire,wildfire,1,1,42.14574,-124.1485,1,1,NA,NA,NA
HD4305-S1_S245,HD4305-S1_S245_L001,HD4305-S1,basetree_100plots,sample,1,0,NA,1,NA1,2018,2017,1,<3,1to2,wildfire,wildfire,1,1,42.14503,-124.15112,0,0,NA,NA,NA
HD4306-S1_S5,HD4306-S1_S5_L001,HD4306-S1,basetree_100plots,sample,1,0,NA,1,NA1,2018,2017,1,<3,1to2,wildfire,wildfire,1,1,42.14556,-124.15621,1,1,NA,NA,NA
HD4307-S1_S6,HD4307-S1_S6_L001,HD4307-S1,basetree_100plots,sample,1,0,NA,1,NA1,2018,2017,1,<3,1to2,wildfire,wildfire,1,1,42.15566,-124.144,1,0,NA,NA,NA
HD4308-S1_S7,HD4308-S1_S7_L001,HD4308-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.13775,-124.16682,1,0,NA,NA,NA
HD4309-S1_S8,HD4309-S1_S8_L001,HD4309-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.13796,-124.16514,1,0,NA,NA,NA
HD4310-S1_S9,HD4310-S1_S9_L001,HD4310-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.13193,-124.19671,1,0,NA,NA,NA
HD4311-S1_S10,HD4311-S1_S10_L001,HD4311-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.12821,-124.19627,1,0,NA,NA,NA
HD4312-S1_S11,HD4312-S1_S11_L001,HD4312-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.11756,-124.1955,1,0,NA,NA,NA
HD4313-S1_S12,HD4313-S1_S12_L001,HD4313-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.26913,-124.28152,1,0,NA,NA,NA
HD4314-S1_S13,HD4314-S1_S13_L001,HD4314-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.27436,-124.29751,0,0,NA,NA,NA
HD4315-S1_S14,HD4315-S1_S14_L001,HD4315-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.28407,-124.32211,1,0,NA,NA,NA
HD4316-S1_S15,HD4316-S1_S15_L001,HD4316-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.27922,-124.32102,0,0,NA,NA,NA
HD4317-S1_S16,HD4317-S1_S16_L001,HD4317-S1,basetree_100plots,sample,1,1,pre,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.29568,-124.38348,1,0,NA,NA,NA
HD4318-S1_S17,HD4318-S1_S17_L001,HD4318-S1,basetree_100plots,sample,1,1,pre,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.29694,-124.3813,1,0,NA,NA,NA
HD4319-S1_S18,HD4319-S1_S18_L001,HD4319-S1,basetree_100plots,sample,1,0,NA,0,NA1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.18637,-124.34256,1,1,NA,NA,NA
HD4320-S1_S19,HD4320-S1_S19_L001,HD4320-S1,basetree_100plots,sample,1,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.33258,-124.38381,1,0,NA,NA,NA
HD4321-S111_19_S20,HD4321-S111_19_S20_L001,HD4321-S1-11_19,basetree_100plots,sample,1,1,pre,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S10_S129,HD4321-S10_S129_L001,HD4321-S10,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S11_S130,HD4321-S11_S130_L001,HD4321-S11,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S112_9_S120,HD4321-S112_9_S120_L001,HD4321-S1-12_9,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S12_S131,HD4321-S12_S131_L001,HD4321-S12,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S13_S132,HD4321-S13_S132_L001,HD4321-S13,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S14_S133,HD4321-S14_S133_L001,HD4321-S14,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S15_S134,HD4321-S15_S134_L001,HD4321-S15,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S16_S135,HD4321-S16_S135_L001,HD4321-S16,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S17_S136,HD4321-S17_S136_L001,HD4321-S17,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S18_S137,HD4321-S18_S137_L001,HD4321-S18,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S19_S138,HD4321-S19_S138_L001,HD4321-S19,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S2_S121,HD4321-S2_S121_L001,HD4321-S2,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S20_S139,HD4321-S20_S139_L001,HD4321-S20,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
HD4321-S3_S122,HD4321-S3_S122_L001,HD4321-S3,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
